iter	Passed	Remaining
0	4	4417
1	7	3498
2	11	3693
3	15	3864
4	19	3970
5	24	4008
6	28	4064
7	32	4045
8	36	4067
9	40	4046
10	45	4066
11	49	4042
12	53	4045
13	57	4041
14	61	4039
15	65	4027
16	69	4016
17	73	4002
18	77	4018
19	81	3998
20	84	3953
21	88	3944
22	92	3946
23	97	3961
24	102	3980
25	106	3979
26	110	3980
27	114	3970
28	118	3957
29	121	3944
30	125	3936
31	129	3926
32	133	3924
33	137	3914
34	142	3924
35	146	3928
36	150	3925
37	154	3907
38	158	3910
39	162	3900
40	166	3906
41	170	3899
42	175	3908
43	179	3904
44	183	3900
45	187	3890
46	191	3890
47	195	3881
48	200	3883
49	204	3882
50	208	3874
51	211	3862
52	215	3857
53	219	3847
54	223	3843
55	227	3831
56	231	3828
57	235	3830
58	241	3844
59	245	3839
60	248	3831
61	252	3821
62	256	3819
63	260	3816
64	264	3809
65	268	3800
66	272	3798
67	276	3786
68	280	3785
69	284	3775
70	288	3773
71	292	3768
72	296	3760
73	299	3751
74	303	3748
75	307	3741
76	311	3738
77	315	3731
78	320	3733
79	324	3728
80	328	3725
81	331	3716
82	336	3714
83	339	3705
84	343	3702
85	347	3695
86	351	3693
87	355	3684
88	359	3681
89	363	3676
90	367	3673
91	372	3671
92	376	3670
93	380	3663
94	384	3661
95	388	3653
96	392	3650
97	395	3643
98	399	3640
99	403	3634
100	407	3631
101	411	3626
102	415	3622
103	419	3616
104	423	3610
105	427	3606
106	431	3601
107	435	3594
108	439	3589
109	442	3583
110	446	3576
111	450	3570
112	453	3563
113	458	3559
114	461	3554
115	466	3552
116	469	3545
117	474	3543
118	477	3537
119	482	3535
120	486	3531
121	490	3527
122	493	3520
123	497	3517
124	501	3510
125	505	3506
126	509	3499
127	513	3495
128	517	3490
129	521	3486
130	524	3481
131	528	3476
132	532	3473
133	536	3470
134	541	3466
135	545	3463
136	549	3458
137	553	3456
138	557	3453
139	559	3439
140	563	3434
141	567	3427
142	571	3422
143	574	3417
144	578	3412
145	582	3405
146	585	3399
147	589	3393
148	593	3388
149	597	3384
150	601	3380
151	604	3374
152	608	3370
153	612	3365
154	616	3360
155	620	3355
156	623	3349
157	627	3345
158	631	3339
159	635	3335
160	639	3330
161	643	3326
162	646	3321
163	650	3317
164	654	3313
165	659	3311
166	663	3307
167	667	3303
168	670	3298
169	674	3294
170	678	3288
171	682	3283
172	686	3279
173	689	3274
174	693	3269
175	697	3264
176	701	3262
177	705	3257
178	709	3255
179	714	3252
180	717	3247
181	721	3242
182	725	3238
183	729	3233
184	733	3230
185	736	3224
186	741	3221
187	744	3216
188	748	3213
189	752	3208
190	756	3205
191	760	3200
192	764	3196
193	768	3194
194	773	3191
195	777	3188
196	781	3186
197	785	3183
198	790	3180
199	793	3174
200	797	3171
201	801	3167
202	805	3163
203	809	3158
204	813	3156
205	817	3151
206	822	3150
207	826	3146
208	830	3144
209	834	3139
210	838	3136
211	842	3132
212	846	3129
213	850	3124
214	854	3121
215	858	3115
216	862	3111
217	866	3106
218	870	3103
219	874	3099
220	878	3096
221	882	3091
222	886	3087
223	889	3082
224	893	3077
225	897	3072
226	899	3064
227	903	3060
228	906	3050
229	909	3045
230	913	3041
231	917	3037
232	921	3033
233	925	3028
234	929	3024
235	932	3019
236	937	3017
237	941	3015
238	945	3011
239	949	3007
240	953	3003
241	957	2999
242	961	2994
243	964	2989
244	967	2981
245	971	2976
246	974	2971
247	978	2966
248	981	2961
249	985	2956
250	989	2952
251	993	2948
252	997	2944
253	1001	2940
254	1005	2936
255	1008	2932
256	1012	2927
257	1016	2923
258	1020	2918
259	1024	2914
260	1027	2910
261	1032	2907
262	1035	2902
263	1039	2898
264	1043	2894
265	1047	2890
266	1051	2886
267	1054	2881
268	1058	2877
269	1062	2872
270	1066	2868
271	1069	2863
272	1073	2859
273	1077	2854
274	1081	2851
275	1085	2847
276	1089	2844
277	1093	2840
278	1098	2838
279	1102	2834
280	1106	2830
281	1110	2826
282	1114	2822
283	1117	2818
284	1122	2815
285	1125	2810
286	1129	2807
287	1133	2802
288	1138	2799
289	1141	2795
290	1146	2793
291	1149	2788
292	1154	2784
293	1157	2780
294	1161	2775
295	1165	2771
296	1169	2768
297	1173	2764
298	1177	2760
299	1181	2756
300	1185	2752
301	1188	2748
302	1193	2744
303	1196	2740
304	1200	2735
305	1204	2731
306	1208	2727
307	1212	2724
308	1216	2721
309	1221	2718
310	1225	2714
311	1228	2709
312	1232	2705
313	1236	2701
314	1240	2696
315	1247	2699
316	1254	2702
317	1260	2703
318	1265	2701
319	1271	2702
320	1279	2705
321	1287	2710
322	1295	2714
323	1300	2712
324	1304	2708
325	1310	2708
